date,total_screen_time,Instagram,Snapchat,X,YouTube,unlock_count,device,TikTok,Brawl Stars,Clash of Clans,8 Ball Pool,Squad Busters,social_media_time,social_media_ratio,game_time,game_ratio
2025-03-01,220.98333333333332,32.266666666666666,0.9333333333333333,36.15,81.83333333333333,259.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,151.18333333333334,0.6841390753450487,0.0,0.0
2025-03-02,381.3666666666667,188.5,3.4833333333333334,2.6333333333333333,54.71666666666667,351.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,249.33333333333331,0.6537890044576522,0.0,0.0
2025-03-03,395.93333333333334,189.4,0.23333333333333334,0.0,103.66666666666667,271.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,293.3,0.7407812763091429,0.0,0.0
2025-03-04,484.6,193.6,12.733333333333333,6.933333333333334,0.0,403.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,213.26666666666665,0.44008804512312555,0.0,0.0
2025-03-05,571.3166666666667,343.35,10.183333333333334,13.25,5.966666666666667,475.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,372.75,0.6524402695527873,0.0,0.0
2025-03-06,424.93333333333334,236.86666666666667,5.483333333333333,8.75,10.416666666666666,463.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,261.51666666666665,0.6154298713523689,0.0,0.0
2025-03-07,406.53333333333336,248.56666666666666,0.7333333333333333,10.633333333333333,8.833333333333334,417.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,268.76666666666665,0.6611183994752377,0.0,0.0
2025-03-08,472.7,244.6,1.35,73.26666666666667,37.61666666666667,325.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,356.8333333333333,0.7548832945490445,0.0,0.0
2025-03-09,539.5166666666667,323.03333333333336,0.21666666666666667,23.183333333333334,15.333333333333334,365.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,361.76666666666665,0.6705384449043897,0.0,0.0
2025-03-10,474.3666666666667,350.68333333333334,2.8666666666666667,9.516666666666667,12.483333333333333,277.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,375.55,0.7916871618298081,0.0,0.0
2025-03-11,342.6166666666667,55.85,2.7666666666666666,19.15,102.28333333333333,196.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,180.05,0.5255144233107943,0.0,0.0
2025-03-12,355.0,43.016666666666666,1.1333333333333333,24.583333333333332,97.4,259.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,166.13333333333335,0.46798122065727704,0.0,0.0
2025-03-13,337.01666666666665,35.88333333333333,1.7666666666666666,44.416666666666664,0.0,211.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,82.06666666666666,0.2435092230849117,0.0,0.0
2025-03-14,357.98333333333335,127.56666666666666,2.033333333333333,56.05,0.5,344.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,186.15,0.5199962754318171,0.0,0.0
2025-03-15,348.4166666666667,114.11666666666666,3.9166666666666665,11.183333333333334,76.95,319.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,206.16666666666666,0.5917244678306625,0.0,0.0
2025-03-16,443.1166666666667,181.45,6.3,94.48333333333333,10.483333333333333,238.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,292.71666666666664,0.6605860006770226,0.0,0.0
2025-03-17,458.2,235.28333333333333,8.816666666666666,15.466666666666667,26.266666666666666,263.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,285.8333333333333,0.6238178379164848,0.0,0.0
2025-03-18,421.95,214.23333333333332,4.183333333333334,19.8,79.98333333333333,228.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,318.2,0.754117786467591,0.0,0.0
2025-03-19,307.1666666666667,103.65,5.116666666666666,36.25,5.166666666666667,279.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,150.18333333333334,0.4889310906131307,0.0,0.0
2025-03-20,281.18333333333334,6.95,4.7,38.6,4.05,358.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,54.300000000000004,0.19311244146760714,0.0,0.0
2025-03-21,382.4,69.66666666666667,5.566666666666666,36.61666666666667,84.26666666666667,321.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,196.11666666666667,0.5128573919107392,0.0,0.0
2025-03-22,389.3,123.66666666666667,0.4,66.48333333333333,72.2,152.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,262.75,0.6749293603904444,0.0,0.0
2025-03-23,450.73333333333335,189.43333333333334,2.683333333333333,20.616666666666667,141.36666666666667,156.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,354.1,0.7856086377754771,0.0,0.0
2025-03-24,73.51666666666667,15.483333333333333,0.3333333333333333,0.9166666666666666,0.7666666666666667,114.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,17.5,0.23804126048515076,0.0,0.0
,0.0,,,,,7044.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
,9321.066666666668,,,,,7044.0,samsung SM-F721B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
