date,total_steps,steps_2h_before_sleep,took_nap,sleep_quality,sleep_score,total_screen_time,unlock_count,Instagram,YouTube,X,TikTok,Snapchat,8 Ball Pool,Brawl Stars,Clash of Clans,Squad Busters,social_media_ratio,game_ratio
2025-03-21,3904.0,169.0,False,Bad,131.0,382.4,321.0,69.66666666666667,84.26666666666667,36.61666666666667,0.0,5.566666666666666,0.0,0.0,0.0,0.0,0.5128573919107392,0.0
2025-03-20,17089.0,0.0,False,Average,279.9,281.18333333333334,358.0,6.95,4.05,38.6,0.0,4.7,0.0,0.0,0.0,0.0,0.1931124414676071,0.0
2025-03-19,9880.0,131.0,False,Bad,254.6,307.1666666666667,279.0,103.65,5.166666666666667,36.25,0.0,5.116666666666666,0.0,0.0,0.0,0.0,0.4889310906131307,0.0
2025-03-18,13415.0,170.0,False,Good,416.9,421.95,228.0,214.2333333333333,79.98333333333333,19.8,0.0,4.183333333333334,0.0,0.0,0.0,0.0,0.754117786467591,0.0
2025-03-15,19444.0,237.0,False,Good,332.2,348.4166666666667,319.0,114.11666666666666,76.95,11.183333333333334,0.0,3.9166666666666665,0.0,0.0,0.0,0.0,0.5917244678306625,0.0
2025-03-15,19444.0,1993.0,False,Good,332.2,348.4166666666667,319.0,114.11666666666666,76.95,11.183333333333334,0.0,3.9166666666666665,0.0,0.0,0.0,0.0,0.5917244678306625,0.0
2025-03-15,19444.0,237.0,False,Bad,175.0,348.4166666666667,319.0,114.11666666666666,76.95,11.183333333333334,0.0,3.9166666666666665,0.0,0.0,0.0,0.0,0.5917244678306625,0.0
2025-03-15,19444.0,1993.0,False,Bad,175.0,348.4166666666667,319.0,114.11666666666666,76.95,11.183333333333334,0.0,3.9166666666666665,0.0,0.0,0.0,0.0,0.5917244678306625,0.0
2025-03-14,6741.0,844.0,True,Bad,59.5,357.9833333333333,344.0,127.56666666666666,0.5,56.05,0.0,2.033333333333333,0.0,0.0,0.0,0.0,0.5199962754318171,0.0
2025-03-13,7573.0,356.0,False,Good,348.9,337.01666666666665,211.0,35.88333333333333,0.0,44.41666666666666,0.0,1.7666666666666666,0.0,0.0,0.0,0.0,0.2435092230849117,0.0
2025-03-13,7562.0,142.0,False,Good,348.9,337.01666666666665,211.0,35.88333333333333,0.0,44.41666666666666,0.0,1.7666666666666666,0.0,0.0,0.0,0.0,0.2435092230849117,0.0
2025-03-13,7573.0,356.0,False,Average,292.0,337.01666666666665,211.0,35.88333333333333,0.0,44.41666666666666,0.0,1.7666666666666666,0.0,0.0,0.0,0.0,0.2435092230849117,0.0
2025-03-13,7562.0,142.0,False,Average,292.0,337.01666666666665,211.0,35.88333333333333,0.0,44.41666666666666,0.0,1.7666666666666666,0.0,0.0,0.0,0.0,0.2435092230849117,0.0
2025-03-12,8671.0,135.0,False,Good,401.6,355.0,259.0,43.016666666666666,97.4,24.58333333333333,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.467981220657277,0.0
2025-03-11,9058.0,0.0,False,Good,326.7,342.6166666666667,196.0,55.85,102.28333333333332,19.15,0.0,2.7666666666666666,0.0,0.0,0.0,0.0,0.5255144233107943,0.0
2025-03-09,8334.0,895.0,True,Bad,124.4,539.5166666666667,365.0,323.03333333333336,15.333333333333334,23.183333333333334,0.0,0.2166666666666666,0.0,0.0,0.0,0.0,0.6705384449043897,0.0
2025-03-09,8315.0,0.0,True,Bad,124.4,539.5166666666667,365.0,323.03333333333336,15.333333333333334,23.183333333333334,0.0,0.2166666666666666,0.0,0.0,0.0,0.0,0.6705384449043897,0.0
2025-03-09,8334.0,895.0,True,Bad,88.5,539.5166666666667,365.0,323.03333333333336,15.333333333333334,23.183333333333334,0.0,0.2166666666666666,0.0,0.0,0.0,0.0,0.6705384449043897,0.0
2025-03-09,8315.0,0.0,True,Bad,88.5,539.5166666666667,365.0,323.03333333333336,15.333333333333334,23.183333333333334,0.0,0.2166666666666666,0.0,0.0,0.0,0.0,0.6705384449043897,0.0
2025-03-08,13788.0,317.0,False,Average,281.2,472.7,325.0,244.6,37.61666666666667,73.26666666666667,0.0,1.35,0.0,0.0,0.0,0.0,0.7548832945490445,0.0
2025-03-07,10208.0,101.0,False,Good,329.2,406.53333333333336,417.0,248.56666666666663,8.833333333333334,10.633333333333333,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.6611183994752377,0.0
2025-03-06,9306.0,38.0,False,Average,312.1,424.9333333333333,463.0,236.86666666666667,10.416666666666666,8.75,0.0,5.483333333333333,0.0,0.0,0.0,0.0,0.6154298713523689,0.0
2025-03-05,14772.0,439.0,False,Average,272.9,571.3166666666667,475.0,343.35,5.966666666666667,13.25,0.0,10.183333333333334,0.0,0.0,0.0,0.0,0.6524402695527873,0.0
2025-03-03,8367.0,55.0,False,Good,389.8,395.9333333333333,271.0,189.4,103.66666666666669,0.0,0.0,0.2333333333333333,0.0,0.0,0.0,0.0,0.7407812763091429,0.0
2025-03-02,11238.0,4873.0,True,Bad,45.5,381.3666666666667,351.0,188.5,54.71666666666667,2.6333333333333333,0.0,3.4833333333333334,0.0,0.0,0.0,0.0,0.6537890044576522,0.0
2025-03-02,11228.0,125.0,True,Bad,45.5,381.3666666666667,351.0,188.5,54.71666666666667,2.6333333333333333,0.0,3.4833333333333334,0.0,0.0,0.0,0.0,0.6537890044576522,0.0
2025-03-02,11238.0,4873.0,True,Good,337.3,381.3666666666667,351.0,188.5,54.71666666666667,2.6333333333333333,0.0,3.4833333333333334,0.0,0.0,0.0,0.0,0.6537890044576522,0.0
2025-03-02,11228.0,125.0,True,Good,337.3,381.3666666666667,351.0,188.5,54.71666666666667,2.6333333333333333,0.0,3.4833333333333334,0.0,0.0,0.0,0.0,0.6537890044576522,0.0
2025-03-01,486.0,0.0,False,Good,345.0,220.9833333333333,259.0,32.266666666666666,81.83333333333333,36.15,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.6841390753450487,0.0
